Cohesion (Pa),Angle of Internal Friction,Slope angle (degree),Factor of Safety (FOS)
23535.72,40.6,40.0,1.22
124543.185,6.2,40.0,1.51
22555.065,36.8,40.0,1.11
17651.79,41.7,40.0,1.14
17651.79,45.1,40.0,1.24
7845.24,43.9,40.0,1.03
37264.89,46.1,40.0,1.59
36284.235,24.8,40.0,1.01
34322.925,0.26,40.0,0.37
64723.23,26.4,40.0,1.41
69626.505,33.9,40.0,1.69
51974.715,31.5,40.0,1.39
85316.985,34.4,40.0,1.85
61781.265,33.3,40.0,1.57
59819.955,35.2,40.0,1.58
24516.375,43.6,40.0,1.33
20593.755,47.5,40.0,1.37
9806.55,60.5,40.0,1.54
25497.03,48.5,40.0,1.5
47071.44,30.8,40.0,1.32
28438.995,32.2,40.0,1.09
56877.99,26.2,40.0,1.29
15690.48,41.7,40.0,1.11
40206.855,35.2,40.0,1.32
94142.88,32.5,40.0,1.97
20593.755,45.0,40.0,1.33
10787.205,44.0,40.0,1.06
42168.165,52.7,40.0,1.95
32361.615,30.2,40.0,1.07
13729.17,51.1,40.0,1.35
66684.54,37.7,40.0,1.75
36284.235,34.1,40.0,1.25
47071.44,44.6,40.0,1.69
23535.72,40.6,50.0,0.95
124543.185,6.2,50.0,1.37
22555.065,36.8,50.0,0.86
17651.79,41.7,50.0,0.95
17651.79,45.1,50.0,0.98
7845.24,43.9,50.0,0.75
37264.89,46.1,50.0,1.31
36284.235,24.8,50.0,0.84
34322.925,0.26,50.0,0.32
64723.23,26.4,50.0,1.19
69626.505,33.9,50.0,1.38
51974.715,31.5,50.0,1.16
85316.985,34.4,50.0,1.56
61781.265,33.3,50.0,1.29
59819.955,35.2,50.0,1.32
24516.375,43.6,50.0,1.04
20593.755,47.5,50.0,1.09
9806.55,60.5,50.0,1.13
25497.03,48.5,50.0,1.21
47071.44,30.8,50.0,1.04
28438.995,32.2,50.0,0.86
56877.99,26.2,50.0,1.12
15690.48,41.7,50.0,0.88
40206.855,35.2,50.0,1.08
94142.88,32.5,50.0,1.6
20593.755,45.0,50.0,1.02
10787.205,44.0,50.0,0.8
42168.165,52.7,50.0,1.5
32361.615,30.2,50.0,0.89
13729.17,51.1,50.0,1.03
66684.54,37.7,50.0,1.46
36284.235,34.1,50.0,1.02
47071.44,44.6,50.0,1.36
